 X,Y,I,J,PERIOD
   737591.,  5082695.,  2, 28,      3.926E-03
   737591.,  5082745.,  2, 29,      3.842E-03
   737591.,  5082795.,  2, 30,      3.718E-03
   737591.,  5082845.,  2, 31,      3.552E-03
   737591.,  5082895.,  2, 32,      3.344E-03
   737591.,  5082945.,  2, 33,      3.111E-03
   737591.,  5082995.,  2, 34,      2.870E-03
   737591.,  5083045.,  2, 35,      2.634E-03
   737591.,  5083095.,  2, 36,      2.425E-03
   737591.,  5083145.,  2, 37,      2.254E-03
   737591.,  5083195.,  2, 38,      2.126E-03
   737591.,  5083245.,  2, 39,      2.054E-03
   737591.,  5083295.,  2, 40,      2.036E-03
   737591.,  5083345.,  2, 41,      2.057E-03
   737591.,  5083395.,  2, 42,      2.104E-03
   737591.,  5083445.,  2, 43,      2.161E-03
   737591.,  5083495.,  2, 44,      2.188E-03
   737591.,  5083545.,  2, 45,      2.165E-03
   737591.,  5083595.,  2, 46,      2.094E-03
   737591.,  5083645.,  2, 47,      1.993E-03
   737591.,  5083695.,  2, 48,      1.904E-03
   737591.,  5083745.,  2, 49,      1.829E-03
   737591.,  5083795.,  2, 50,      1.744E-03
   737591.,  5083845.,  2, 51,      1.645E-03
   737591.,  5083895.,  2, 52,      1.570E-03
   737591.,  5083945.,  2, 53,      1.535E-03
   737591.,  5083995.,  2, 54,      1.521E-03
   737591.,  5084045.,  2, 55,      1.504E-03
   737591.,  5084095.,  2, 56,      1.479E-03
   737591.,  5084145.,  2, 57,      1.448E-03
   737591.,  5084195.,  2, 58,      1.385E-03
   737591.,  5084245.,  2, 59,      1.287E-03
   737591.,  5084295.,  2, 60,      1.203E-03
   737591.,  5084345.,  2, 61,      1.146E-03
   737591.,  5084395.,  2, 62,      1.103E-03
   737591.,  5084445.,  2, 63,      1.058E-03
   737591.,  5084495.,  2, 64,      1.005E-03
   737591.,  5084545.,  2, 65,      9.492E-04
   737591.,  5084595.,  2, 66,      9.008E-04
   737591.,  5084645.,  2, 67,      8.641E-04
   737591.,  5084695.,  2, 68,      8.391E-04
   737591.,  5084745.,  2, 69,      8.220E-04
   737591.,  5084795.,  2, 70,      8.023E-04
   737591.,  5084845.,  2, 71,      7.756E-04
   737591.,  5084895.,  2, 72,      7.501E-04
   737591.,  5084945.,  2, 73,      7.336E-04
   737591.,  5084995.,  2, 74,      7.221E-04
   737591.,  5085045.,  2, 75,      6.920E-04
   737591.,  5085095.,  2, 76,      6.342E-04
