 X,Y,I,J,PCT1H
   737591.,  5082695.,  2, 28,      5.488E-02
   737591.,  5082745.,  2, 29,      5.214E-02
   737591.,  5082795.,  2, 30,      4.768E-02
   737591.,  5082845.,  2, 31,      4.453E-02
   737591.,  5082895.,  2, 32,      4.468E-02
   737591.,  5082945.,  2, 33,      3.945E-02
   737591.,  5082995.,  2, 34,      3.246E-02
   737591.,  5083045.,  2, 35,      3.020E-02
   737591.,  5083095.,  2, 36,      2.694E-02
   737591.,  5083145.,  2, 37,      2.296E-02
   737591.,  5083195.,  2, 38,      2.215E-02
   737591.,  5083245.,  2, 39,      2.082E-02
   737591.,  5083295.,  2, 40,      2.008E-02
   737591.,  5083345.,  2, 41,      1.932E-02
   737591.,  5083395.,  2, 42,      1.899E-02
   737591.,  5083445.,  2, 43,      1.864E-02
   737591.,  5083495.,  2, 44,      1.802E-02
   737591.,  5083545.,  2, 45,      1.839E-02
   737591.,  5083595.,  2, 46,      1.763E-02
   737591.,  5083645.,  2, 47,      1.747E-02
   737591.,  5083695.,  2, 48,      1.612E-02
   737591.,  5083745.,  2, 49,      1.360E-02
   737591.,  5083795.,  2, 50,      1.259E-02
   737591.,  5083845.,  2, 51,      1.214E-02
   737591.,  5083895.,  2, 52,      1.097E-02
   737591.,  5083945.,  2, 53,      9.695E-03
   737591.,  5083995.,  2, 54,      8.860E-03
   737591.,  5084045.,  2, 55,      8.894E-03
   737591.,  5084095.,  2, 56,      8.308E-03
   737591.,  5084145.,  2, 57,      7.839E-03
   737591.,  5084195.,  2, 58,      7.429E-03
   737591.,  5084245.,  2, 59,      7.306E-03
   737591.,  5084295.,  2, 60,      6.465E-03
   737591.,  5084345.,  2, 61,      5.732E-03
   737591.,  5084395.,  2, 62,      5.347E-03
   737591.,  5084445.,  2, 63,      5.219E-03
   737591.,  5084495.,  2, 64,      4.877E-03
   737591.,  5084545.,  2, 65,      4.535E-03
   737591.,  5084595.,  2, 66,      4.408E-03
   737591.,  5084645.,  2, 67,      4.340E-03
   737591.,  5084695.,  2, 68,      3.988E-03
   737591.,  5084745.,  2, 69,      3.888E-03
   737591.,  5084795.,  2, 70,      3.580E-03
   737591.,  5084845.,  2, 71,      3.436E-03
   737591.,  5084895.,  2, 72,      3.247E-03
   737591.,  5084945.,  2, 73,      2.984E-03
   737591.,  5084995.,  2, 74,      2.819E-03
   737591.,  5085045.,  2, 75,      2.641E-03
   737591.,  5085095.,  2, 76,      2.518E-03
   737591.,  5085145.,  2, 77,      2.311E-03
   737591.,  5085195.,  2, 78,      2.259E-03
   737591.,  5085245.,  2, 79,      2.138E-03
   737591.,  5085295.,  2, 80,      2.039E-03
   737591.,  5085345.,  2, 81,      1.900E-03
   737591.,  5085395.,  2, 82,      1.796E-03
   737591.,  5085445.,  2, 83,      1.664E-03
   737591.,  5085495.,  2, 84,      1.549E-03
   737591.,  5085545.,  2, 85,      1.463E-03
   737591.,  5085595.,  2, 86,      1.397E-03
   737591.,  5085645.,  2, 87,      1.327E-03
   737591.,  5085695.,  2, 88,      1.253E-03
   737591.,  5085745.,  2, 89,      1.183E-03
   737591.,  5085795.,  2, 90,      1.081E-03
   737591.,  5085845.,  2, 91,      1.030E-03
   737591.,  5085895.,  2, 92,      9.681E-04
   737591.,  5085945.,  2, 93,      9.056E-04
   737591.,  5085995.,  2, 94,      8.379E-04
   737591.,  5086045.,  2, 95,      7.890E-04
   737591.,  5086095.,  2, 96,      7.474E-04
   737591.,  5086145.,  2, 97,      7.053E-04
   737591.,  5086195.,  2, 98,      6.683E-04
   737591.,  5086245.,  2, 99,      6.223E-04
   737591.,  5086295.,  2,100,      5.813E-04
   737641.,  5081345.,  3,  1,      4.741E-02
   737641.,  5081395.,  3,  2,      6.194E-02
   737641.,  5081445.,  3,  3,      7.042E-02
   737641.,  5081495.,  3,  4,      7.307E-02
   737641.,  5081545.,  3,  5,      7.440E-02
   737641.,  5081595.,  3,  6,      7.865E-02
   737641.,  5081645.,  3,  7,      7.959E-02
   737641.,  5081695.,  3,  8,      8.161E-02
   737641.,  5081745.,  3,  9,      8.159E-02
   737641.,  5081795.,  3, 10,      8.274E-02
   737641.,  5081845.,  3, 11,      9.012E-02
   737641.,  5081895.,  3, 12,      8.708E-02
   737641.,  5081945.,  3, 13,      8.547E-02
   737641.,  5081995.,  3, 14,      8.275E-02
   737641.,  5082045.,  3, 15,      7.938E-02
   737641.,  5082095.,  3, 16,      7.786E-02
   737641.,  5082145.,  3, 17,      7.647E-02
   737641.,  5082195.,  3, 18,      7.145E-02
   737641.,  5082245.,  3, 19,      7.083E-02
   737641.,  5082295.,  3, 20,      7.189E-02
   737641.,  5082345.,  3, 21,      7.058E-02
   737641.,  5082395.,  3, 22,      7.320E-02
   737641.,  5082445.,  3, 23,      7.304E-02
   737641.,  5082495.,  3, 24,      7.126E-02
   737641.,  5082545.,  3, 25,      7.114E-02
   737641.,  5082595.,  3, 26,      6.839E-02
   737641.,  5082645.,  3, 27,      6.598E-02
   737641.,  5082695.,  3, 28,      6.442E-02
   737641.,  5082745.,  3, 29,      6.227E-02
   737641.,  5082795.,  3, 30,      5.802E-02
   737641.,  5082845.,  3, 31,      5.239E-02
   737641.,  5082895.,  3, 32,      5.198E-02
   737641.,  5082945.,  3, 33,      4.533E-02
   737641.,  5082995.,  3, 34,      3.979E-02
   737641.,  5083045.,  3, 35,      3.435E-02
   737641.,  5083095.,  3, 36,      3.126E-02
   737641.,  5083145.,  3, 37,      2.668E-02
   737641.,  5083195.,  3, 38,      2.602E-02
   737641.,  5083245.,  3, 39,      2.314E-02
   737641.,  5083295.,  3, 40,      2.270E-02
   737641.,  5083345.,  3, 41,      2.089E-02
   737641.,  5083395.,  3, 42,      2.164E-02
   737641.,  5083445.,  3, 43,      2.101E-02
   737641.,  5083495.,  3, 44,      1.993E-02
   737641.,  5083545.,  3, 45,      2.056E-02
   737641.,  5083595.,  3, 46,      2.019E-02
   737641.,  5083645.,  3, 47,      1.967E-02
   737641.,  5083695.,  3, 48,      1.750E-02
   737641.,  5083745.,  3, 49,      1.566E-02
   737641.,  5083795.,  3, 50,      1.436E-02
   737641.,  5083845.,  3, 51,      1.403E-02
   737641.,  5083895.,  3, 52,      1.222E-02
   737641.,  5083945.,  3, 53,      1.088E-02
   737641.,  5083995.,  3, 54,      1.006E-02
   737641.,  5084045.,  3, 55,      1.008E-02
   737641.,  5084095.,  3, 56,      9.242E-03
   737641.,  5084145.,  3, 57,      8.640E-03
   737641.,  5084195.,  3, 58,      8.422E-03
   737641.,  5084245.,  3, 59,      7.850E-03
   737641.,  5084295.,  3, 60,      7.078E-03
   737641.,  5084345.,  3, 61,      6.342E-03
   737641.,  5084395.,  3, 62,      5.724E-03
   737641.,  5084445.,  3, 63,      5.700E-03
   737641.,  5084495.,  3, 64,      5.220E-03
   737641.,  5084545.,  3, 65,      5.007E-03
   737641.,  5084595.,  3, 66,      4.763E-03
   737641.,  5084645.,  3, 67,      4.604E-03
   737641.,  5084695.,  3, 68,      4.424E-03
   737641.,  5084745.,  3, 69,      4.185E-03
   737641.,  5084795.,  3, 70,      3.902E-03
   737641.,  5084845.,  3, 71,      3.694E-03
   737641.,  5084895.,  3, 72,      3.486E-03
   737641.,  5084945.,  3, 73,      3.316E-03
   737641.,  5084995.,  3, 74,      3.166E-03
