 X,Y,I,J,PCT1H
   737541.,  5081345.,  1,  1,      5.125E-02
   737541.,  5081395.,  1,  2,      6.511E-02
   737541.,  5081445.,  1,  3,      7.324E-02
   737541.,  5081495.,  1,  4,      8.105E-02
   737541.,  5081545.,  1,  5,      8.349E-02
   737541.,  5081595.,  1,  6,      8.384E-02
   737541.,  5081645.,  1,  7,      8.764E-02
   737541.,  5081695.,  1,  8,      8.956E-02
   737541.,  5081745.,  1,  9,      8.713E-02
   737541.,  5081795.,  1, 10,      9.065E-02
   737541.,  5081845.,  1, 11,      9.267E-02
   737541.,  5081895.,  1, 12,      9.655E-02
   737541.,  5081945.,  1, 13,      9.927E-02
   737541.,  5081995.,  1, 14,      9.731E-02
   737541.,  5082045.,  1, 15,      9.647E-02
   737541.,  5082095.,  1, 16,      8.789E-02
   737541.,  5082145.,  1, 17,      8.374E-02
   737541.,  5082195.,  1, 18,      8.138E-02
   737541.,  5082245.,  1, 19,      8.125E-02
   737541.,  5082295.,  1, 20,      8.638E-02
   737541.,  5082345.,  1, 21,      8.620E-02
   737541.,  5082395.,  1, 22,      9.341E-02
   737541.,  5082445.,  1, 23,      8.290E-02
   737541.,  5082495.,  1, 24,      7.520E-02
   737541.,  5082545.,  1, 25,      7.948E-02
   737541.,  5082595.,  1, 26,      7.943E-02
   737541.,  5082645.,  1, 27,      8.737E-02
   737541.,  5082695.,  1, 28,      8.887E-02
   737541.,  5082745.,  1, 29,      8.469E-02
   737541.,  5082795.,  1, 30,      8.064E-02
   737541.,  5082845.,  1, 31,      7.336E-02
   737541.,  5082895.,  1, 32,      6.675E-02
   737541.,  5082945.,  1, 33,      5.648E-02
   737541.,  5082995.,  1, 34,      5.480E-02
   737541.,  5083045.,  1, 35,      4.981E-02
   737541.,  5083095.,  1, 36,      4.421E-02
   737541.,  5083145.,  1, 37,      4.453E-02
   737541.,  5083195.,  1, 38,      3.970E-02
   737541.,  5083245.,  1, 39,      4.008E-02
   737541.,  5083295.,  1, 40,      4.225E-02
   737541.,  5083345.,  1, 41,      4.283E-02
   737541.,  5083395.,  1, 42,      4.396E-02
   737541.,  5083445.,  1, 43,      4.401E-02
   737541.,  5083495.,  1, 44,      4.375E-02
   737541.,  5083545.,  1, 45,      4.327E-02
   737541.,  5083595.,  1, 46,      4.101E-02
   737541.,  5083645.,  1, 47,      3.902E-02
   737541.,  5083695.,  1, 48,      3.851E-02
   737541.,  5083745.,  1, 49,      3.608E-02
   737541.,  5083795.,  1, 50,      3.134E-02
   737541.,  5083845.,  1, 51,      2.993E-02
   737541.,  5083895.,  1, 52,      2.993E-02
   737541.,  5083945.,  1, 53,      2.981E-02
   737541.,  5083995.,  1, 54,      2.944E-02
   737541.,  5084045.,  1, 55,      3.066E-02
   737541.,  5084095.,  1, 56,      3.065E-02
   737541.,  5084145.,  1, 57,      2.744E-02
   737541.,  5084195.,  1, 58,      2.795E-02
   737541.,  5084245.,  1, 59,      2.392E-02
   737541.,  5084295.,  1, 60,      2.384E-02
   737541.,  5084345.,  1, 61,      2.086E-02
   737541.,  5084395.,  1, 62,      1.891E-02
   737541.,  5084445.,  1, 63,      1.602E-02
   737541.,  5084495.,  1, 64,      1.429E-02
   737541.,  5084545.,  1, 65,      1.314E-02
   737541.,  5084595.,  1, 66,      1.341E-02
   737541.,  5084645.,  1, 67,      1.309E-02
   737541.,  5084695.,  1, 68,      1.263E-02
   737541.,  5084745.,  1, 69,      1.215E-02
   737541.,  5084795.,  1, 70,      9.763E-03
   737541.,  5084845.,  1, 71,      8.538E-03
   737541.,  5084895.,  1, 72,      7.910E-03
   737541.,  5084945.,  1, 73,      7.757E-03
   737541.,  5084995.,  1, 74,      8.381E-03
   737541.,  5085045.,  1, 75,      7.433E-03
   737541.,  5085095.,  1, 76,      6.893E-03
   737541.,  5085145.,  1, 77,      6.195E-03
   737541.,  5085195.,  1, 78,      5.519E-03
   737541.,  5085245.,  1, 79,      4.951E-03
   737541.,  5085295.,  1, 80,      4.273E-03
   737541.,  5085345.,  1, 81,      3.900E-03
   737541.,  5085395.,  1, 82,      3.467E-03
   737541.,  5085445.,  1, 83,      3.196E-03
   737541.,  5085495.,  1, 84,      2.987E-03
   737541.,  5085545.,  1, 85,      2.840E-03
   737541.,  5085595.,  1, 86,      2.753E-03
   737541.,  5085645.,  1, 87,      2.570E-03
   737541.,  5085695.,  1, 88,      2.278E-03
   737541.,  5085745.,  1, 89,      2.149E-03
   737541.,  5085795.,  1, 90,      1.974E-03
   737541.,  5085845.,  1, 91,      1.745E-03
   737541.,  5085895.,  1, 92,      1.555E-03
   737541.,  5085945.,  1, 93,      1.454E-03
   737541.,  5085995.,  1, 94,      1.322E-03
   737541.,  5086045.,  1, 95,      1.227E-03
   737541.,  5086095.,  1, 96,      1.155E-03
   737541.,  5086145.,  1, 97,      1.065E-03
   737541.,  5086195.,  1, 98,      9.994E-04
   737541.,  5086245.,  1, 99,      8.714E-04
   737541.,  5086295.,  1,100,      7.993E-04
   737591.,  5081345.,  2,  1,      6.705E-02
   737591.,  5081395.,  2,  2,      8.434E-02
   737591.,  5081445.,  2,  3,      9.715E-02
   737591.,  5081495.,  2,  4,      1.045E-01
   737591.,  5081545.,  2,  5,      1.040E-01
   737591.,  5081595.,  2,  6,      1.082E-01
   737591.,  5081645.,  2,  7,      1.131E-01
   737591.,  5081695.,  2,  8,      1.170E-01
   737591.,  5081745.,  2,  9,      1.155E-01
   737591.,  5081795.,  2, 10,      1.185E-01
   737591.,  5081845.,  2, 11,      1.225E-01
   737591.,  5081895.,  2, 12,      1.247E-01
   737591.,  5081945.,  2, 13,      1.219E-01
   737591.,  5081995.,  2, 14,      1.276E-01
   737591.,  5082045.,  2, 15,      1.311E-01
   737591.,  5082095.,  2, 16,      1.176E-01
   737591.,  5082145.,  2, 17,      1.118E-01
   737591.,  5082195.,  2, 18,      1.089E-01
   737591.,  5082245.,  2, 19,      1.043E-01
   737591.,  5082295.,  2, 20,      1.068E-01
   737591.,  5082345.,  2, 21,      1.114E-01
   737591.,  5082395.,  2, 22,      1.157E-01
   737591.,  5082445.,  2, 23,      1.131E-01
   737591.,  5082495.,  2, 24,      9.567E-02
   737591.,  5082545.,  2, 25,      9.922E-02
   737591.,  5082595.,  2, 26,      1.027E-01
   737591.,  5082645.,  2, 27,      1.103E-01
   737591.,  5082695.,  2, 28,      1.146E-01
   737591.,  5082745.,  2, 29,      1.044E-01
   737591.,  5082795.,  2, 30,      1.022E-01
   737591.,  5082845.,  2, 31,      9.539E-02
   737591.,  5082895.,  2, 32,      8.585E-02
   737591.,  5082945.,  2, 33,      7.243E-02
   737591.,  5082995.,  2, 34,      7.183E-02
   737591.,  5083045.,  2, 35,      6.327E-02
   737591.,  5083095.,  2, 36,      5.616E-02
   737591.,  5083145.,  2, 37,      5.551E-02
   737591.,  5083195.,  2, 38,      5.028E-02
   737591.,  5083245.,  2, 39,      5.147E-02
   737591.,  5083295.,  2, 40,      5.252E-02
   737591.,  5083345.,  2, 41,      5.454E-02
   737591.,  5083395.,  2, 42,      5.616E-02
   737591.,  5083445.,  2, 43,      5.545E-02
   737591.,  5083495.,  2, 44,      5.776E-02
   737591.,  5083545.,  2, 45,      5.525E-02
   737591.,  5083595.,  2, 46,      5.096E-02
   737591.,  5083645.,  2, 47,      4.816E-02
   737591.,  5083695.,  2, 48,      4.939E-02
   737591.,  5083745.,  2, 49,      4.460E-02
   737591.,  5083795.,  2, 50,      4.071E-02
   737591.,  5083845.,  2, 51,      3.789E-02
   737591.,  5083895.,  2, 52,      3.587E-02
   737591.,  5083945.,  2, 53,      3.609E-02
   737591.,  5083995.,  2, 54,      3.614E-02
   737591.,  5084045.,  2, 55,      3.710E-02
   737591.,  5084095.,  2, 56,      3.672E-02
   737591.,  5084145.,  2, 57,      3.467E-02
   737591.,  5084195.,  2, 58,      3.412E-02
   737591.,  5084245.,  2, 59,      2.987E-02
   737591.,  5084295.,  2, 60,      2.827E-02
   737591.,  5084345.,  2, 61,      2.535E-02
   737591.,  5084395.,  2, 62,      2.188E-02
   737591.,  5084445.,  2, 63,      1.882E-02
   737591.,  5084495.,  2, 64,      1.634E-02
   737591.,  5084545.,  2, 65,      1.631E-02
   737591.,  5084595.,  2, 66,      1.663E-02
   737591.,  5084645.,  2, 67,      1.572E-02
   737591.,  5084695.,  2, 68,      1.491E-02
   737591.,  5084745.,  2, 69,      1.411E-02
   737591.,  5084795.,  2, 70,      1.103E-02
   737591.,  5084845.,  2, 71,      9.721E-03
   737591.,  5084895.,  2, 72,      9.329E-03
