 X,Y,I,J,PCTD
   737591.,  5082695.,  2, 28,      0.000E+00
   737591.,  5082745.,  2, 29,      0.000E+00
   737591.,  5082795.,  2, 30,      0.000E+00
   737591.,  5082845.,  2, 31,      0.000E+00
   737591.,  5082895.,  2, 32,      0.000E+00
   737591.,  5082945.,  2, 33,      0.000E+00
   737591.,  5082995.,  2, 34,      0.000E+00
   737591.,  5083045.,  2, 35,      0.000E+00
   737591.,  5083095.,  2, 36,      0.000E+00
   737591.,  5083145.,  2, 37,      0.000E+00
   737591.,  5083195.,  2, 38,      0.000E+00
   737591.,  5083245.,  2, 39,      0.000E+00
   737591.,  5083295.,  2, 40,      0.000E+00
   737591.,  5083345.,  2, 41,      0.000E+00
   737591.,  5083395.,  2, 42,      0.000E+00
   737591.,  5083445.,  2, 43,      0.000E+00
   737591.,  5083495.,  2, 44,      0.000E+00
   737591.,  5083545.,  2, 45,      0.000E+00
   737591.,  5083595.,  2, 46,      0.000E+00
   737591.,  5083645.,  2, 47,      0.000E+00
   737591.,  5083695.,  2, 48,      0.000E+00
   737591.,  5083745.,  2, 49,      0.000E+00
   737591.,  5083795.,  2, 50,      0.000E+00
   737591.,  5083845.,  2, 51,      0.000E+00
   737591.,  5083895.,  2, 52,      0.000E+00
   737591.,  5083945.,  2, 53,      0.000E+00
   737591.,  5083995.,  2, 54,      0.000E+00
   737591.,  5084045.,  2, 55,      0.000E+00
   737591.,  5084095.,  2, 56,      0.000E+00
   737591.,  5084145.,  2, 57,      0.000E+00
   737591.,  5084195.,  2, 58,      0.000E+00
   737591.,  5084245.,  2, 59,      0.000E+00
   737591.,  5084295.,  2, 60,      0.000E+00
   737591.,  5084345.,  2, 61,      0.000E+00
   737591.,  5084395.,  2, 62,      0.000E+00
   737591.,  5084445.,  2, 63,      0.000E+00
   737591.,  5084495.,  2, 64,      0.000E+00
   737591.,  5084545.,  2, 65,      0.000E+00
   737591.,  5084595.,  2, 66,      0.000E+00
   737591.,  5084645.,  2, 67,      0.000E+00
   737591.,  5084695.,  2, 68,      0.000E+00
   737591.,  5084745.,  2, 69,      0.000E+00
   737591.,  5084795.,  2, 70,      0.000E+00
   737591.,  5084845.,  2, 71,      0.000E+00
   737591.,  5084895.,  2, 72,      0.000E+00
   737591.,  5084945.,  2, 73,      0.000E+00
   737591.,  5084995.,  2, 74,      0.000E+00
   737591.,  5085045.,  2, 75,      0.000E+00
   737591.,  5085095.,  2, 76,      0.000E+00
   737591.,  5085145.,  2, 77,      0.000E+00
   737591.,  5085195.,  2, 78,      0.000E+00
   737591.,  5085245.,  2, 79,      0.000E+00
   737591.,  5085295.,  2, 80,      0.000E+00
   737591.,  5085345.,  2, 81,      0.000E+00
   737591.,  5085395.,  2, 82,      0.000E+00
   737591.,  5085445.,  2, 83,      0.000E+00
   737591.,  5085495.,  2, 84,      0.000E+00
   737591.,  5085545.,  2, 85,      0.000E+00
   737591.,  5085595.,  2, 86,      0.000E+00
   737591.,  5085645.,  2, 87,      0.000E+00
   737591.,  5085695.,  2, 88,      0.000E+00
   737591.,  5085745.,  2, 89,      0.000E+00
   737591.,  5085795.,  2, 90,      0.000E+00
   737591.,  5085845.,  2, 91,      0.000E+00
   737591.,  5085895.,  2, 92,      0.000E+00
   737591.,  5085945.,  2, 93,      0.000E+00
   737591.,  5085995.,  2, 94,      0.000E+00
   737591.,  5086045.,  2, 95,      0.000E+00
   737591.,  5086095.,  2, 96,      0.000E+00
   737591.,  5086145.,  2, 97,      0.000E+00
   737591.,  5086195.,  2, 98,      0.000E+00
   737591.,  5086245.,  2, 99,      0.000E+00
   737591.,  5086295.,  2,100,      0.000E+00
   737641.,  5081345.,  3,  1,      0.000E+00
   737641.,  5081395.,  3,  2,      0.000E+00
   737641.,  5081445.,  3,  3,      0.000E+00
   737641.,  5081495.,  3,  4,      0.000E+00
   737641.,  5081545.,  3,  5,      0.000E+00
   737641.,  5081595.,  3,  6,      0.000E+00
   737641.,  5081645.,  3,  7,      0.000E+00
   737641.,  5081695.,  3,  8,      0.000E+00
   737641.,  5081745.,  3,  9,      0.000E+00
   737641.,  5081795.,  3, 10,      0.000E+00
   737641.,  5081845.,  3, 11,      0.000E+00
   737641.,  5081895.,  3, 12,      0.000E+00
   737641.,  5081945.,  3, 13,      0.000E+00
   737641.,  5081995.,  3, 14,      0.000E+00
   737641.,  5082045.,  3, 15,      0.000E+00
   737641.,  5082095.,  3, 16,      0.000E+00
   737641.,  5082145.,  3, 17,      0.000E+00
   737641.,  5082195.,  3, 18,      0.000E+00
   737641.,  5082245.,  3, 19,      0.000E+00
