 X,Y,I,J,MAX1H,NSUP1H,EPISODES,DURMAX
   737541.,  5085845.,  1, 91,      1.523E-01,     0,     0,    0.
   737541.,  5085895.,  1, 92,      1.781E-01,     0,     0,    0.
   737541.,  5085945.,  1, 93,      1.730E-01,     0,     0,    0.
   737541.,  5085995.,  1, 94,      1.376E-01,     0,     0,    0.
   737541.,  5086045.,  1, 95,      9.756E-02,     0,     0,    0.
   737541.,  5086095.,  1, 96,      6.844E-02,     0,     0,    0.
   737541.,  5086145.,  1, 97,      4.880E-02,     0,     0,    0.
   737541.,  5086195.,  1, 98,      3.445E-02,     0,     0,    0.
   737541.,  5086245.,  1, 99,      2.341E-02,     0,     0,    0.
   737541.,  5086295.,  1,100,      1.532E-02,     0,     0,    0.
   737591.,  5081345.,  2,  1,      1.862E-01,     0,     0,    0.
   737591.,  5081395.,  2,  2,      2.400E-01,     0,     0,    0.
   737591.,  5081445.,  2,  3,      2.880E-01,     0,     0,    0.
   737591.,  5081495.,  2,  4,      3.251E-01,     0,     0,    0.
   737591.,  5081545.,  2,  5,      3.037E-01,     0,     0,    0.
   737591.,  5081595.,  2,  6,      3.379E-01,     0,     0,    0.
   737591.,  5081645.,  2,  7,      3.674E-01,     0,     0,    0.
   737591.,  5081695.,  2,  8,      3.697E-01,     0,     0,    0.
   737591.,  5081745.,  2,  9,      3.326E-01,     0,     0,    0.
   737591.,  5081795.,  2, 10,      3.138E-01,     0,     0,    0.
   737591.,  5081845.,  2, 11,      3.184E-01,     0,     0,    0.
   737591.,  5081895.,  2, 12,      3.429E-01,     0,     0,    0.
   737591.,  5081945.,  2, 13,      3.604E-01,     0,     0,    0.
   737591.,  5081995.,  2, 14,      3.810E-01,     0,     0,    0.
   737591.,  5082045.,  2, 15,      3.695E-01,     0,     0,    0.
   737591.,  5082095.,  2, 16,      3.573E-01,     0,     0,    0.
   737591.,  5082145.,  2, 17,      3.772E-01,     0,     0,    0.
   737591.,  5082195.,  2, 18,      3.734E-01,     0,     0,    0.
   737591.,  5082245.,  2, 19,      3.584E-01,     0,     0,    0.
   737591.,  5082295.,  2, 20,      3.448E-01,     0,     0,    0.
   737591.,  5082345.,  2, 21,      3.271E-01,     0,     0,    0.
   737591.,  5082395.,  2, 22,      4.053E-01,     0,     0,    0.
   737591.,  5082445.,  2, 23,      4.509E-01,     0,     0,    0.
   737591.,  5082495.,  2, 24,      3.653E-01,     0,     0,    0.
   737591.,  5082545.,  2, 25,      3.793E-01,     0,     0,    0.
   737591.,  5082595.,  2, 26,      3.784E-01,     0,     0,    0.
   737591.,  5082645.,  2, 27,      3.838E-01,     0,     0,    0.
   737591.,  5082695.,  2, 28,      4.279E-01,     0,     0,    0.
   737591.,  5082745.,  2, 29,      3.853E-01,     0,     0,    0.
   737591.,  5082795.,  2, 30,      3.691E-01,     0,     0,    0.
   737591.,  5082845.,  2, 31,      3.970E-01,     0,     0,    0.
   737591.,  5082895.,  2, 32,      4.095E-01,     0,     0,    0.
   737591.,  5082945.,  2, 33,      3.841E-01,     0,     0,    0.
   737591.,  5082995.,  2, 34,      3.622E-01,     0,     0,    0.
   737591.,  5083045.,  2, 35,      4.263E-01,     0,     0,    0.
   737591.,  5083095.,  2, 36,      4.303E-01,     0,     0,    0.
   737591.,  5083145.,  2, 37,      3.718E-01,     0,     0,    0.
   737591.,  5083195.,  2, 38,      3.058E-01,     0,     0,    0.
   737591.,  5083245.,  2, 39,      2.238E-01,     0,     0,    0.
   737591.,  5083295.,  2, 40,      2.921E-01,     0,     0,    0.
   737591.,  5083345.,  2, 41,      3.636E-01,     0,     0,    0.
   737591.,  5083395.,  2, 42,      3.987E-01,     0,     0,    0.
   737591.,  5083445.,  2, 43,      3.971E-01,     0,     0,    0.
   737591.,  5083495.,  2, 44,      3.687E-01,     0,     0,    0.
   737591.,  5083545.,  2, 45,      3.362E-01,     0,     0,    0.
   737591.,  5083595.,  2, 46,      3.093E-01,     0,     0,    0.
   737591.,  5083645.,  2, 47,      3.856E-01,     0,     0,    0.
   737591.,  5083695.,  2, 48,      3.866E-01,     0,     0,    0.
   737591.,  5083745.,  2, 49,      3.542E-01,     0,     0,    0.
   737591.,  5083795.,  2, 50,      3.689E-01,     0,     0,    0.
   737591.,  5083845.,  2, 51,      3.686E-01,     0,     0,    0.
   737591.,  5083895.,  2, 52,      3.120E-01,     0,     0,    0.
   737591.,  5083945.,  2, 53,      2.895E-01,     0,     0,    0.
